"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1007","Bad Request Credentials","","Fri Apr 18 17:52:27 IST 2025","passed","Fri Apr 18 17:52:28 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","297","Invalid Bank Accounts Post","","Fri Apr 18 17:52:33 IST 2025","passed","Fri Apr 18 17:52:33 IST 2025","","Bank Account Endpoint","Invalid Bank Accounts Post",""
"","190","Deletion of bank Account","","Thu Apr 17 22:35:59 IST 2025","passed","Thu Apr 17 22:35:59 IST 2025","","Bank Account Endpoint","Deletion of bank Account",""
"","536","Invalid patch Bank Account operation","","Fri Apr 18 17:52:38 IST 2025","passed","Fri Apr 18 17:52:39 IST 2025","","Bank Account Endpoint","Invalid patch Bank Account operation",""
"","435","Deletion of bank Account","","Thu Apr 17 22:35:59 IST 2025","passed","Thu Apr 17 22:35:59 IST 2025","","Bank Account Endpoint","Deletion of bank Account",""
"","615","Deletion of bank Account","","Fri Apr 18 17:52:46 IST 2025","passed","Fri Apr 18 17:52:47 IST 2025","","Bank Account Endpoint","Deletion of bank Account",""
"","7280","Restrict Login to Invalid Credentials","","Fri Apr 18 17:53:00 IST 2025","passed","Fri Apr 18 17:53:08 IST 2025","","Login Action","Restrict Login to Invalid Credentials",""
"","524","Valid patch Bank Account operation","","Fri Apr 18 17:52:37 IST 2025","passed","Fri Apr 18 17:52:37 IST 2025","","Bank Account Endpoint","Valid patch Bank Account operation",""
"","10957","Successful Login with Valid Credentials","","Fri Apr 18 17:52:42 IST 2025","passed","Fri Apr 18 17:52:53 IST 2025","","Login Action","Successful Login with Valid Credentials",""
"","630","Valid get a particular bank account","","Fri Apr 18 17:52:34 IST 2025","passed","Fri Apr 18 17:52:34 IST 2025","","Bank Account Endpoint","Valid get a particular bank account",""
"","11773","Restrict Login to Invalid Credentials","","Fri Apr 18 17:53:26 IST 2025","passed","Fri Apr 18 17:53:38 IST 2025","","Login Action","Restrict Login to Invalid Credentials",""
"","512","Invalid get a particular bank account","","Fri Apr 18 17:52:36 IST 2025","passed","Fri Apr 18 17:52:37 IST 2025","","Bank Account Endpoint","Invalid get a particular bank account",""
"","837","Valid Bank Accounts Post","","Fri Apr 18 17:52:31 IST 2025","passed","Fri Apr 18 17:52:32 IST 2025","","Bank Account Endpoint","Valid Bank Accounts Post",""
"","1744","Invalid put Bank Account operation","","Fri Apr 18 17:52:42 IST 2025","passed","Fri Apr 18 17:52:44 IST 2025","","Bank Account Endpoint","Invalid put Bank Account operation",""
"","909","Bad Request Credentials","","Fri Apr 18 17:52:26 IST 2025","passed","Fri Apr 18 17:52:27 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","1048","Valid Bank Accounts Post","","Fri Apr 18 17:52:29 IST 2025","passed","Fri Apr 18 17:52:30 IST 2025","","Bank Account Endpoint","Valid Bank Accounts Post",""
"","345","Valid get a particular bank account","","Fri Apr 18 17:52:33 IST 2025","passed","Fri Apr 18 17:52:34 IST 2025","","Bank Account Endpoint","Valid get a particular bank account",""
"","7802","Successful Login with Valid Credentials","","Fri Apr 18 17:52:53 IST 2025","passed","Fri Apr 18 17:53:00 IST 2025","","Login Action","Successful Login with Valid Credentials",""
"","5734","Restrict Login to Invalid Credentials","","Fri Apr 18 17:53:13 IST 2025","passed","Fri Apr 18 17:53:19 IST 2025","","Login Action","Restrict Login to Invalid Credentials",""
"","623","Valid put Bank Account operation","","Fri Apr 18 17:52:40 IST 2025","passed","Fri Apr 18 17:52:41 IST 2025","","Bank Account Endpoint","Valid put Bank Account operation",""
"","443","Valid get a particular bank account","","Fri Apr 18 17:52:34 IST 2025","passed","Fri Apr 18 17:52:35 IST 2025","","Bank Account Endpoint","Valid get a particular bank account",""
"","1072","Valid Bank Accounts Post","","Fri Apr 18 17:52:30 IST 2025","passed","Fri Apr 18 17:52:31 IST 2025","","Bank Account Endpoint","Valid Bank Accounts Post",""
"","817","Valid Get Bank Account Requests","","Fri Apr 18 17:52:28 IST 2025","passed","Fri Apr 18 17:52:29 IST 2025","","Bank Account Endpoint","Valid Get Bank Account Requests",""
"","4081","Valid Credentials test","","Fri Apr 18 17:52:17 IST 2025","passed","Fri Apr 18 17:52:22 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","546","Valid patch Bank Account operation","","Fri Apr 18 17:52:37 IST 2025","passed","Fri Apr 18 17:52:38 IST 2025","","Bank Account Endpoint","Valid patch Bank Account operation",""
"","312","Valid Bank Accounts Post","","Fri Apr 18 17:52:32 IST 2025","passed","Fri Apr 18 17:52:32 IST 2025","","Bank Account Endpoint","Valid Bank Accounts Post",""
"","952","Valid put Bank Account operation","","Fri Apr 18 17:52:39 IST 2025","passed","Fri Apr 18 17:52:40 IST 2025","","Bank Account Endpoint","Valid put Bank Account operation",""
"","13416","Successful Login with Valid Credentials","","Fri Apr 18 17:52:28 IST 2025","passed","Fri Apr 18 17:52:42 IST 2025","","Login Action","Successful Login with Valid Credentials",""
"","10628","Successful Login with Valid Credentials","","Fri Apr 18 17:52:17 IST 2025","passed","Fri Apr 18 17:52:28 IST 2025","","Login Action","Successful Login with Valid Credentials",""
"","393","Invalid patch Bank Account operation","","Fri Apr 18 17:52:39 IST 2025","passed","Fri Apr 18 17:52:39 IST 2025","","Bank Account Endpoint","Invalid patch Bank Account operation",""
"","408","Deletion of bank Account","","Fri Apr 18 17:52:47 IST 2025","passed","Fri Apr 18 17:52:47 IST 2025","","Bank Account Endpoint","Deletion of bank Account",""
